car_aval1,car_aval2,car_aval3,car_aval4
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
0.9,0.9,0.975,0.975
0.95,0.95,0.975,0.975
0.975,0.975,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,1,1
0.85,0.85,1,1
0.9,0.9,1,1
0.95,0.95,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.95,0.95,0.975,0.975
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
0.9,0.9,0.975,0.975
0.95,0.95,0.975,0.975
0.975,0.975,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,1,1
0.85,0.85,1,1
0.9,0.9,1,1
0.95,0.95,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.95,0.95,0.975,0.975
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
0.9,0.9,0.975,0.975
0.95,0.95,0.975,0.975
0.975,0.975,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,1,1
0.85,0.85,1,1
0.9,0.9,1,1
0.95,0.95,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.95,0.95,0.975,0.975
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
0.9,0.9,0.975,0.975
0.95,0.95,0.975,0.975
0.975,0.975,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,1,1
0.85,0.85,1,1
0.9,0.9,1,1
0.95,0.95,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.95,0.95,0.975,0.975
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
0.9,0.9,0.975,0.975
0.95,0.95,0.975,0.975
0.975,0.975,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
0.975,0.975,1,1
0.95,0.95,1,1
0.9,0.9,1,1
0.85,0.85,1,1
0.9,0.9,1,1
0.95,0.95,0.975,0.975
0.975,0.975,0.975,0.975
1,1,0.975,0.975
1,1,0.975,0.975
1,1,0.95,0.95
1,1,0.9,0.9
1,1,0.9,0.9
1,1,0.925,0.925
1,1,0.95,0.95
1,1,0.95,0.95
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.95,0.95,0.975,0.975
0.9,0.9,0.975,0.975
0.85,0.85,0.975,0.975
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.925,0.925
0.95,0.95,0.925,0.925
0.975,0.975,0.925,0.925
1,1,0.975,0.975
1,1,1,1
0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9
0.95,0.95,0.925,0.925
1,1,0.975,0.975
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.925,0.925
0.975,0.975,0.95,0.95
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,0.975,0.975
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.975,0.975,0.975,0.975
0.975,0.975,0.95,0.95
