car_aval1,car_aval2,car_aval3,car_aval4
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.8,0.8
0.8,0.8,0.8,0.8
0.91,0.91,0.91,0.91
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.75,0.75,0.75
0.6,0.6,0.6,0.6
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.8,0.8
0.8,0.8,0.8,0.8
0.91,0.91,0.91,0.91
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.75,0.75,0.75
0.6,0.6,0.6,0.6
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.8,0.8
0.8,0.8,0.8,0.8
0.91,0.91,0.91,0.91
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.75,0.75,0.75
0.6,0.6,0.6,0.6
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.8,0.8
0.8,0.8,0.8,0.8
0.91,0.91,0.91,0.91
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.75,0.75,0.75
0.6,0.6,0.6,0.6
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.8,0.8
0.8,0.8,0.8,0.8
0.91,0.91,0.91,0.91
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.75,0.75,0.75
0.6,0.6,0.6,0.6
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.8,0.8
0.8,0.8,0.8,0.8
0.91,0.91,0.91,0.91
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.75,0.75,0.75
0.6,0.6,0.6,0.6
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.8,0.8
0.8,0.8,0.8,0.8
0.91,0.91,0.91,0.91
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.75,0.75,0.75
0.6,0.6,0.6,0.6
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.8,0.8
0.8,0.8,0.8,0.8
0.91,0.91,0.91,0.91
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.75,0.75,0.75
0.6,0.6,0.6,0.6
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.5,0.5
0.05,0.05,0.5,0.5
0.05,0.05,0.95,0.95
0.8,0.8,0.95,0.95
0.91,0.91,0.975,0.975
0.93,0.93,1,1
0.96,0.96,0.92,0.92
0.85,0.85,0.92,0.92
0.74,0.74,0.95,0.95
0.75,0.75,1,1
0.76,0.76,0.975,0.975
0.77,0.77,0.95,0.95
0.78,0.78,0.6,0.6
0.78,0.78,0.6,0.6
0.75,0.75,0.6,0.6
0.6,0.6,0.55,0.55
0.5,0.5,0.55,0.55
