"","Date","Month","Day","Hour","Total_hourly_Price_x_load","Year","total_load","Weighted_Avg_Price"
"1",2024-01-01 00:00:00,1,1,1,1002228.41488878,2024,23932,41.8781721080052
"2",2024-01-01 01:00:00,1,1,2,946310.34317354,2024,22771,41.5576980885135
"3",2024-01-01 02:00:00,1,1,3,930954.85317598,2024,22217,41.9028155545744
"4",2024-01-01 03:00:00,1,1,4,934943.97146814,2024,22209,42.0975267444793
"5",2024-01-01 04:00:00,1,1,5,966396.0857322,2024,23030,41.9624874395224
"6",2024-01-01 05:00:00,1,1,6,1074029.06251392,2024,25472,42.1650856828643
"7",2024-01-01 06:00:00,1,1,7,1273457.66549755,2024,29557,43.0848078457743
"8",2024-01-01 07:00:00,1,1,8,1581198.9146195,2024,33103,47.7660307107966
"9",2024-01-01 08:00:00,1,1,9,1563203.10926217,2024,35068,44.5763405173426
"10",2024-01-01 09:00:00,1,1,10,1494216.67329918,2024,36033,41.4680063635884
"11",2024-01-01 10:00:00,1,1,11,1528024.40829252,2024,36862,41.4525638406088
"12",2024-01-01 11:00:00,1,1,12,1525505.07339192,2024,36628,41.648604165991
"13",2024-01-01 12:00:00,1,1,13,1509275.85684125,2024,36131,41.7723245091819
"14",2024-01-01 13:00:00,1,1,14,1473506.88209686,2024,35541,41.4593534818058
"15",2024-01-01 14:00:00,1,1,15,1451068.40889844,2024,35014,41.4425203889427
"16",2024-01-01 15:00:00,1,1,16,1534184.98247736,2024,35002,43.8313519935249
"17",2024-01-01 16:00:00,1,1,17,1800491.40608272,2024,36868,48.8361561810437
"18",2024-01-01 17:00:00,1,1,18,3043358.1708106,2024,40572,75.0112927834615
"19",2024-01-01 18:00:00,1,1,19,3069824.5397515,2024,40930,75.0018211520034
"20",2024-01-01 19:00:00,1,1,20,2328003.83491936,2024,39968,58.2466932275661
"21",2024-01-01 20:00:00,1,1,21,2228465.46126036,2024,38268,58.2331311085074
"22",2024-01-01 21:00:00,1,1,22,1705586.61045952,2024,35402,48.177690821409
"23",2024-01-01 22:00:00,1,1,23,1650796.00442868,2024,31684,52.1018812153983
"24",2024-01-01 23:00:00,1,1,24,1217464.60023885,2024,27749,43.8741792583102
"25",2024-01-02 00:00:00,1,2,1,1128315.414477,2024,25775,43.7755737915422
"26",2024-01-02 01:00:00,1,2,2,1036175.54265692,2024,24124,42.9520619572592
"27",2024-01-02 02:00:00,1,2,3,992361.47084416,2024,23492,42.2425281306045
"28",2024-01-02 03:00:00,1,2,4,986563.79419456,2024,23347,42.2565551974369
"29",2024-01-02 04:00:00,1,2,5,1040313.23202538,2024,24186,43.0130336568833
"30",2024-01-02 05:00:00,1,2,6,1143430.32214573,2024,26581,43.0168286424788
"31",2024-01-02 06:00:00,1,2,7,1398764.85552338,2024,31066,45.0255860272768
"32",2024-01-02 07:00:00,1,2,8,1871199.61295515,2024,34141,54.8079907722431
"33",2024-01-02 08:00:00,1,2,9,1617642.87736552,2024,35887,45.0760129675236
"34",2024-01-02 09:00:00,1,2,10,1652705.25726257,2024,36927,44.7560120579134
"35",2024-01-02 10:00:00,1,2,11,1677621.84908441,2024,37388,44.8705961561038
"36",2024-01-02 11:00:00,1,2,12,1656836.56194334,2024,37047,44.7225568046897
"37",2024-01-02 12:00:00,1,2,13,1546343.28762556,2024,36528,42.3330948211115
"38",2024-01-02 13:00:00,1,2,14,1537427.70996168,2024,36296,42.3580479932136
"39",2024-01-02 14:00:00,1,2,15,1526006.59423336,2024,35654,42.8004317673574
"40",2024-01-02 15:00:00,1,2,16,1530029.3504458,2024,35212,43.4519297525219
"41",2024-01-02 16:00:00,1,2,17,1931729.97461394,2024,36498,52.927009003615
"42",2024-01-02 17:00:00,1,2,18,2744066.61357744,2024,40908,67.0789726600528
"43",2024-01-02 18:00:00,1,2,19,22747858.6882834,2024,41618,546.587022160685
"44",2024-01-02 19:00:00,1,2,20,2418002.63577994,2024,40834,59.2154242978875
"45",2024-01-02 20:00:00,1,2,21,2119569.92239669,2024,39259,53.9894017269082
"46",2024-01-02 21:00:00,1,2,22,1632090.64357795,2024,36417,44.8167241556951
"47",2024-01-02 22:00:00,1,2,23,1457973.2620274,2024,32180,45.3068136117899
"48",2024-01-02 23:00:00,1,2,24,1243822.15542489,2024,28489,43.6597337718028
"49",2024-01-03 00:00:00,1,3,1,1102571.69569564,2024,26174,42.1246922784305
"50",2024-01-03 01:00:00,1,3,2,1034957.28924998,2024,24633,42.0150728392798
"51",2024-01-03 02:00:00,1,3,3,997397.09354548,2024,24014,41.5339840736853
"52",2024-01-03 03:00:00,1,3,4,993783.25003116,2024,23921,41.5443856875198
"53",2024-01-03 04:00:00,1,3,5,1028161.91192103,2024,24745,41.5502894290172
"54",2024-01-03 05:00:00,1,3,6,1159948.14369251,2024,27333,42.4376447405155
"55",2024-01-03 06:00:00,1,3,7,1550399.9120779,2024,31539,49.1581823164305
"56",2024-01-03 07:00:00,1,3,8,2281972.87240448,2024,34336,66.460067346356
"57",2024-01-03 08:00:00,1,3,9,1828638.90478154,2024,35644,51.3028533492745
"58",2024-01-03 09:00:00,1,3,10,1369154.6004475,2024,36133,37.8920820426618
"59",2024-01-03 10:00:00,1,3,11,1515977.6067517,2024,36222,41.8523992808707
"60",2024-01-03 11:00:00,1,3,12,1499847.79890977,2024,35813,41.8799820989521
"61",2024-01-03 12:00:00,1,3,13,1458527.29902633,2024,35359,41.2491105242323
"62",2024-01-03 13:00:00,1,3,14,1443300.8410656,2024,35090,41.1314004293417
"63",2024-01-03 14:00:00,1,3,15,1128802.2866504,2024,34435,32.7806675374009
"64",2024-01-03 15:00:00,1,3,16,1397026.58595122,2024,34171,40.8833977920231
"65",2024-01-03 16:00:00,1,3,17,1706107.41830104,2024,35730,47.7499977134352
"66",2024-01-03 17:00:00,1,3,18,2550137.639356,2024,40187,63.4567805348993
"67",2024-01-03 18:00:00,1,3,19,4372222.0184455,2024,40855,107.018039859148
"68",2024-01-03 19:00:00,1,3,20,2529962.292592,2024,39884,63.4330130526527
"69",2024-01-03 20:00:00,1,3,21,2449332.185772,2024,38619,63.4229831371087
"70",2024-01-03 21:00:00,1,3,22,1734906.46641834,2024,35933,48.2817039049993
"71",2024-01-03 22:00:00,1,3,23,1673001.28816806,2024,31813,52.5886049152252
"72",2024-01-03 23:00:00,1,3,24,1381235.65983075,2024,28580,48.3287494692355
"73",2024-01-04 00:00:00,1,4,1,1087498.80826586,2024,25700,42.3151287262981
"74",2024-01-04 01:00:00,1,4,2,1018981.39325314,2024,24469,41.6437693920119
"75",2024-01-04 02:00:00,1,4,3,991876.74442448,2024,23831,41.621280870483
"76",2024-01-04 03:00:00,1,4,4,993015.78346186,2024,23854,41.628900119974
"77",2024-01-04 04:00:00,1,4,5,1024547.88241212,2024,24612,41.6279815704583
"78",2024-01-04 05:00:00,1,4,6,1238599.27626605,2024,27363,45.2654780640299
"79",2024-01-04 06:00:00,1,4,7,1467947.42442244,2024,31708,46.2958062451886
"80",2024-01-04 07:00:00,1,4,8,3443193.99712242,2024,34304,100.372959337757
"81",2024-01-04 08:00:00,1,4,9,1610755.10743303,2024,35791,45.0044733992632
"82",2024-01-04 09:00:00,1,4,10,1542109.9055817,2024,36440,42.3191521839105
"83",2024-01-04 10:00:00,1,4,11,1487981.08667723,2024,36567,40.6919103748525
"84",2024-01-04 11:00:00,1,4,12,1435921.83184346,2024,35897,40.0011653297897
"85",2024-01-04 12:00:00,1,4,13,1459076.58070163,2024,35327,41.3020234014105
"86",2024-01-04 13:00:00,1,4,14,1440387.74681375,2024,34875,41.301440768853
"87",2024-01-04 14:00:00,1,4,15,1288792.74302948,2024,34264,37.6136102915445
"88",2024-01-04 15:00:00,1,4,16,1430002.44558302,2024,34046,42.0020691295018
"89",2024-01-04 16:00:00,1,4,17,1934250.20806211,2024,35197,54.9549736642927
"90",2024-01-04 17:00:00,1,4,18,2314609.44720765,2024,39738,58.2467524084667
"91",2024-01-04 18:00:00,1,4,19,2907705.07117765,2024,40335,72.0888823894298
"92",2024-01-04 19:00:00,1,4,20,2338169.11254056,2024,39412,59.3263247878961
"93",2024-01-04 20:00:00,1,4,21,2252705.69319764,2024,37978,59.3160696507884
"94",2024-01-04 21:00:00,1,4,22,1969710.75171636,2024,35556,55.3974224242423
"95",2024-01-04 22:00:00,1,4,23,1550538.38538592,2024,31953,48.5255965131887
"96",2024-01-04 23:00:00,1,4,24,1309856.0852834,2024,28436,46.0633030413349
"97",2024-01-05 00:00:00,1,5,1,1099221.16989952,2024,26049,42.1982099082314
"98",2024-01-05 01:00:00,1,5,2,1043672.95715904,2024,24723,42.2146566824026
"99",2024-01-05 02:00:00,1,5,3,1014101.31721856,2024,24022,42.2155239871185
"100",2024-01-05 03:00:00,1,5,4,1000703.42061184,2024,23708,42.2095250806411
"101",2024-01-05 04:00:00,1,5,5,1030935.418021,2024,24300,42.4253258444856
"102",2024-01-05 05:00:00,1,5,6,1110081.78093286,2024,26342,42.1411351048842
"103",2024-01-05 06:00:00,1,5,7,1345809.76354962,2024,29739,45.254035561035
"104",2024-01-05 07:00:00,1,5,8,1802768.6952135,2024,32495,55.4783411359748
"105",2024-01-05 08:00:00,1,5,9,1828987.76623856,2024,34772,52.5994411088968
"106",2024-01-05 09:00:00,1,5,10,1562181.97855384,2024,36548,42.7432959000175
"107",2024-01-05 10:00:00,1,5,11,1642574.07569582,2024,37582,43.7064040151088
"108",2024-01-05 11:00:00,1,5,12,1705748.17988369,2024,37633,45.3258624049023
"109",2024-01-05 12:00:00,1,5,13,1701284.27928872,2024,37267,45.651227071906
"110",2024-01-05 13:00:00,1,5,14,1685912.30691722,2024,36933,45.6478571174077
"111",2024-01-05 14:00:00,1,5,15,1556892.40810425,2024,36225,42.9783963589855
"112",2024-01-05 15:00:00,1,5,16,1594442.51953529,2024,35753,44.5960484304895
"113",2024-01-05 16:00:00,1,5,17,1949213.73578078,2024,36666,53.1613411820428
"114",2024-01-05 17:00:00,1,5,18,2738209.1660199,2024,39805,68.7905832438111
"115",2024-01-05 18:00:00,1,5,19,2573777.50874948,2024,39806,64.6580291601638
"116",2024-01-05 19:00:00,1,5,20,2167553.4638376,2024,38324,56.5586437698988
"117",2024-01-05 20:00:00,1,5,21,1845258.94153312,2024,36744,50.2193267345177
"118",2024-01-05 21:00:00,1,5,22,1523020.43209094,2024,34298,44.4055172922893
"119",2024-01-05 22:00:00,1,5,23,1508355.3816856,2024,31678,47.615233969493
"120",2024-01-05 23:00:00,1,5,24,1226994.98527052,2024,28253,43.4288388939412
"121",2024-01-06 00:00:00,1,6,1,1184695.84982688,2024,25817,45.8882073760266
"122",2024-01-06 01:00:00,1,6,2,1071133.0430477,2024,24357,43.9763945907829
"123",2024-01-06 02:00:00,1,6,3,994086.59077138,2024,23454,42.3845225024039
"124",2024-01-06 03:00:00,1,6,4,958690.18552732,2024,23034,41.6206557926248
"125",2024-01-06 04:00:00,1,6,5,964841.27700953,2024,23131,41.7120434485984
"126",2024-01-06 05:00:00,1,6,6,1030311.13894964,2024,24031,42.8742515479855
"127",2024-01-06 06:00:00,1,6,7,1100089.9260375,2024,25375,43.3532975778325
"128",2024-01-06 07:00:00,1,6,8,1151408.3433263,2024,26482,43.4789042869232
"129",2024-01-06 08:00:00,1,6,9,1487736.55069195,2024,28791,51.6736671422302
"130",2024-01-06 09:00:00,1,6,10,830280.976052,2024,30632,27.1050201113868
"131",2024-01-06 10:00:00,1,6,11,-7420104.738688,2024,31673,-234.272242562687
"132",2024-01-06 11:00:00,1,6,12,-7484098.235576,2024,32034,-233.629838158706
"133",2024-01-06 12:00:00,1,6,13,-7428392.7296188,2024,31719,-234.193786992616
"134",2024-01-06 13:00:00,1,6,14,-7320227.4183636,2024,31230,-234.397291654294
"135",2024-01-06 14:00:00,1,6,15,672604.611854,2024,30853,21.8002985723917
"136",2024-01-06 15:00:00,1,6,16,1077089.5756337,2024,30885,34.8741970417258
"137",2024-01-06 16:00:00,1,6,17,1769337.34383667,2024,32440,54.5418416719072
"138",2024-01-06 17:00:00,1,6,18,2226395.80812354,2024,36258,61.4042641106388
"139",2024-01-06 18:00:00,1,6,19,2267554.50099201,2024,36749,61.7038423084168
"140",2024-01-06 19:00:00,1,6,20,2202079.99110359,2024,35691,61.6984671514833
"141",2024-01-06 20:00:00,1,6,21,1785070.66382519,2024,33889,52.6740436078134
"142",2024-01-06 21:00:00,1,6,22,1579992.7966023,2024,32143,49.1551129826805
"143",2024-01-06 22:00:00,1,6,23,1594701.13281115,2024,30568,52.1689718925396
"144",2024-01-06 23:00:00,1,6,24,1304440.6598466,2024,26828,48.6223594694573
"145",2024-01-07 00:00:00,1,7,1,1061957.39431966,2024,24615,43.1426932488182
"146",2024-01-07 01:00:00,1,7,2,1021860.57222612,2024,23359,43.7459040295441
"147",2024-01-07 02:00:00,1,7,3,991033.48296191,2024,22661,43.7329986744588
"148",2024-01-07 03:00:00,1,7,4,977537.54290826,2024,22355,43.7279151379226
"149",2024-01-07 04:00:00,1,7,5,967301.01087775,2024,22825,42.379014715345
"150",2024-01-07 05:00:00,1,7,6,1050568.64494025,2024,24055,43.6736081870817
"151",2024-01-07 06:00:00,1,7,7,1161775.95381293,2024,26066,44.5705499045857
"152",2024-01-07 07:00:00,1,7,8,1460602.9328618,2024,28039,52.0918339763116
"153",2024-01-07 08:00:00,1,7,9,1259773.40377055,2024,29335,42.9443805614641
"154",2024-01-07 09:00:00,1,7,10,1308239.67281209,2024,30847,42.4105965835281
"155",2024-01-07 10:00:00,1,7,11,1352917.78306902,2024,31494,42.9579533583864
"156",2024-01-07 11:00:00,1,7,12,1410240.23318311,2024,32311,43.6458244307855
"157",2024-01-07 12:00:00,1,7,13,1361923.83618116,2024,31788,42.8439611231018
"158",2024-01-07 13:00:00,1,7,14,1374026.78678145,2024,31503,43.6157441126702
"159",2024-01-07 14:00:00,1,7,15,1424862.54757083,2024,31983,44.5506221295948
"160",2024-01-07 15:00:00,1,7,16,1404283.43889,2024,31940,43.9662942670632
"161",2024-01-07 16:00:00,1,7,17,1664027.05259135,2024,33779,49.2621762808653
"162",2024-01-07 17:00:00,1,7,18,2107463.50673113,2024,37189,56.6690017674885
"163",2024-01-07 18:00:00,1,7,19,3732052.1709552,2024,37872,98.5438363686946
"164",2024-01-07 19:00:00,1,7,20,1831312.98828496,2024,37024,49.462861610981
"165",2024-01-07 20:00:00,1,7,21,1750197.3957698,2024,35431,49.3973468366628
"166",2024-01-07 21:00:00,1,7,22,1554906.21229753,2024,32838,47.3508195474003
"167",2024-01-07 22:00:00,1,7,23,1327119.8915197,2024,29521,44.9551130219064
"168",2024-01-07 23:00:00,1,7,24,1171146.47639735,2024,26637,43.9669060478789
"169",2024-01-08 00:00:00,1,8,1,1046620.49761737,2024,24679,42.4093560361996
"170",2024-01-08 01:00:00,1,8,2,1001244.84870459,2024,23629,42.373559977341
"171",2024-01-08 02:00:00,1,8,3,999110.27368519,2024,22953,43.5285267148168
"172",2024-01-08 03:00:00,1,8,4,987352.05682938,2024,22986,42.9544965121979
"173",2024-01-08 04:00:00,1,8,5,1013263.65984639,2024,23897,42.4012913690585
"174",2024-01-08 05:00:00,1,8,6,1119486.27917458,2024,26372,42.4498058233953
"175",2024-01-08 06:00:00,1,8,7,1391517.45165556,2024,31092,44.7548389185501
"176",2024-01-08 07:00:00,1,8,8,1800116.59927184,2024,34338,52.4234550431545
"177",2024-01-08 08:00:00,1,8,9,1620342.7814339,2024,35754,45.3192029264949
"178",2024-01-08 09:00:00,1,8,10,1599987.95560586,2024,36386,43.9726256144083
"179",2024-01-08 10:00:00,1,8,11,1713350.24581849,2024,37086,46.1993810553441
"180",2024-01-08 11:00:00,1,8,12,1693708.88991894,2024,37149,45.5923144611952
"181",2024-01-08 12:00:00,1,8,13,1679745.1004306,2024,36820,45.6204535695437
"182",2024-01-08 13:00:00,1,8,14,1654465.89904399,2024,36297,45.5813400293134
"183",2024-01-08 14:00:00,1,8,15,1673592.1605578,2024,35898,46.6207632892585
"184",2024-01-08 15:00:00,1,8,16,1833824.6243882,2024,35682,51.3935492513929
"185",2024-01-08 16:00:00,1,8,17,1901641.48263542,2024,37073,51.2945130589761
"186",2024-01-08 17:00:00,1,8,18,2258145.55407675,2024,40349,55.9653412495167
"187",2024-01-08 18:00:00,1,8,19,4130321.86307312,2024,40684,101.522020034242
"188",2024-01-08 19:00:00,1,8,20,2291415.58058303,2024,39524,57.9752955313994
"189",2024-01-08 20:00:00,1,8,21,1973203.02756244,2024,37607,52.4690357529832
"190",2024-01-08 21:00:00,1,8,22,1576642.17927528,2024,34744,45.3788331589708
"191",2024-01-08 22:00:00,1,8,23,1379637.73885462,2024,31035,44.4542529033227
"192",2024-01-08 23:00:00,1,8,24,1196214.674135,2024,27711,43.167502945942
"193",2024-01-09 00:00:00,1,9,1,1057902.42844782,2024,25360,41.715395443526
"194",2024-01-09 01:00:00,1,9,2,1002333.5910737,2024,24109,41.5750794754532
"195",2024-01-09 02:00:00,1,9,3,958207.1178544,2024,23335,41.0630862590272
"196",2024-01-09 03:00:00,1,9,4,951006.31572898,2024,23146,41.0872857396086
"197",2024-01-09 04:00:00,1,9,5,981615.57184066,2024,23886,41.0958541338299
"198",2024-01-09 05:00:00,1,9,6,1110246.2353771,2024,26335,42.1585811800684
"199",2024-01-09 06:00:00,1,9,7,1329185.7159993,2024,30786,43.1750053920386
"200",2024-01-09 07:00:00,1,9,8,1773367.2215413,2024,33735,52.5675773393004
"201",2024-01-09 08:00:00,1,9,9,1491583.7810732,2024,34490,43.2468478130821
"202",2024-01-09 09:00:00,1,9,10,1545941.732024,2024,35360,43.7200716070136
"203",2024-01-09 10:00:00,1,9,11,1568189.74108367,2024,35711,43.9133527787984
"204",2024-01-09 11:00:00,1,9,12,1551785.05564595,2024,35633,43.5490993081119
"205",2024-01-09 12:00:00,1,9,13,1511075.91829713,2024,35161,42.975908486594
"206",2024-01-09 13:00:00,1,9,14,1478301.56108446,2024,34994,42.2444293617323
"207",2024-01-09 14:00:00,1,9,15,1453438.7599777,2024,34445,42.1959285811497
"208",2024-01-09 15:00:00,1,9,16,1443757.57081777,2024,33991,42.4747012685055
"209",2024-01-09 16:00:00,1,9,17,1838565.01723984,2024,35448,51.8665373854615
"210",2024-01-09 17:00:00,1,9,18,3300052.16248393,2024,40129,82.2360926632592
"211",2024-01-09 18:00:00,1,9,19,3317889.85767483,2024,40897,81.1279521156767
"212",2024-01-09 19:00:00,1,9,20,2151691.22876138,2024,40048,53.7278073502142
"213",2024-01-09 20:00:00,1,9,21,1986017.73142936,2024,38292,51.8650822999415
"214",2024-01-09 21:00:00,1,9,22,1729652.2826075,2024,35195,49.1448297373917
"215",2024-01-09 22:00:00,1,9,23,1379390.2509375,2024,31250,44.14048803
"216",2024-01-09 23:00:00,1,9,24,1180553.43603568,2024,27858,42.3775373693618
"217",2024-01-10 00:00:00,1,10,1,1061985.49955237,2024,25554,41.5584839771609
"218",2024-01-10 01:00:00,1,10,2,1010705.98071779,2024,24310,41.5757293590206
"219",2024-01-10 02:00:00,1,10,3,1001360.69061642,2024,23807,42.0616075362885
"220",2024-01-10 03:00:00,1,10,4,1000252.82496996,2024,23766,42.0875546987276
"221",2024-01-10 04:00:00,1,10,5,1041522.78364112,2024,24712,42.146438315034
"222",2024-01-10 05:00:00,1,10,6,1244553.08034404,2024,27596,45.0990390036252
"223",2024-01-10 06:00:00,1,10,7,1722426.31932525,2024,32527,52.9537405640007
"224",2024-01-10 07:00:00,1,10,8,4721051.2723076,2024,35096,134.518214962036
"225",2024-01-10 08:00:00,1,10,9,1556290.74786849,2024,35576,43.7455236077268
"226",2024-01-10 09:00:00,1,10,10,1162461.46298412,2024,36096,32.2047169488065
"227",2024-01-10 10:00:00,1,10,11,975066.11113704,2024,36124,26.992196632074
"228",2024-01-10 11:00:00,1,10,12,963383.5013165,2024,35681,26.9999019454752
"229",2024-01-10 12:00:00,1,10,13,885132.54906448,2024,35186,25.1558162071415
"230",2024-01-10 13:00:00,1,10,14,935797.844718,2024,34696,26.9713466888979
"231",2024-01-10 14:00:00,1,10,15,989777.85074368,2024,34160,28.9747614386323
"232",2024-01-10 15:00:00,1,10,16,1229901.6313394,2024,33265,36.9728432688832
"233",2024-01-10 16:00:00,1,10,17,1696332.273923,2024,34558,49.0865291371897
"234",2024-01-10 17:00:00,1,10,18,2070989.01959414,2024,38907,53.2292137557288
"235",2024-01-10 18:00:00,1,10,19,3910681.70765866,2024,40214,97.2467724588118
"236",2024-01-10 19:00:00,1,10,20,2716707.69339779,2024,39491,68.7930843330832
"237",2024-01-10 20:00:00,1,10,21,2018754.15912672,2024,37936,53.2147342663096
"238",2024-01-10 21:00:00,1,10,22,1810728.4165308,2024,35270,51.3390534882563
"239",2024-01-10 22:00:00,1,10,23,1532889.37891656,2024,31486,48.6847925718275
"240",2024-01-10 23:00:00,1,10,24,1574186.01633041,2024,28137,55.9471875583897
"241",2024-01-11 00:00:00,1,11,1,1136611.53800448,2024,25936,43.823702113066
"242",2024-01-11 01:00:00,1,11,2,1059784.46701718,2024,24646,43.0002623962176
"243",2024-01-11 02:00:00,1,11,3,1021332.77509115,2024,24045,42.4758900017114
"244",2024-01-11 03:00:00,1,11,4,995624.88421808,2024,23944,41.5813934270832
"245",2024-01-11 04:00:00,1,11,5,1050154.91651922,2024,24897,42.1799781708326
"246",2024-01-11 05:00:00,1,11,6,1211611.04169632,2024,27624,43.8608109504894
"247",2024-01-11 06:00:00,1,11,7,1590802.555325,2024,32450,49.0231912272727
"248",2024-01-11 07:00:00,1,11,8,3663820.84765924,2024,35416,103.45100654109
"249",2024-01-11 08:00:00,1,11,9,1658558.0230317,2024,36361,45.6136526231869
"250",2024-01-11 09:00:00,1,11,10,1313346.20352307,2024,36819,35.6703387795179
"251",2024-01-11 10:00:00,1,11,11,1230080.5430181,2024,36959,33.282300468576
"252",2024-01-11 11:00:00,1,11,12,1180780.73935336,2024,36483,32.3652314599501
"253",2024-01-11 12:00:00,1,11,13,1186128.59599008,2024,36159,32.8031360377798
"254",2024-01-11 13:00:00,1,11,14,1176072.55665816,2024,35867,32.789822306247
"255",2024-01-11 14:00:00,1,11,15,1191335.86829559,2024,35163,33.8803818870856
"256",2024-01-11 15:00:00,1,11,16,1439604.17396973,2024,34817,41.3477374262495
"257",2024-01-11 16:00:00,1,11,17,1898882.96277465,2024,35998,52.7496795037127
"258",2024-01-11 17:00:00,1,11,18,2310138.30111228,2024,39836,57.991221536105
"259",2024-01-11 18:00:00,1,11,19,3892703.87783291,2024,40204,96.8237955883223
"260",2024-01-11 19:00:00,1,11,20,2228444.84490127,2024,39193,56.8582360345284
"261",2024-01-11 20:00:00,1,11,21,1989444.01535793,2024,37621,52.8812103707485
"262",2024-01-11 21:00:00,1,11,22,1663081.71122337,2024,34915,47.6322987605147
"263",2024-01-11 22:00:00,1,11,23,1426167.55783519,2024,31409,45.4063344211911
"264",2024-01-11 23:00:00,1,11,24,1227731.19113624,2024,28018,43.8193729436876
"265",2024-01-12 00:00:00,1,12,1,1098183.10457348,2024,25884,42.4271018611297
"266",2024-01-12 01:00:00,1,12,2,1023016.2271444,2024,24291,42.1150313755877
"267",2024-01-12 02:00:00,1,12,3,994301.2937581,2024,23635,42.069020256319
"268",2024-01-12 03:00:00,1,12,4,989047.4382506,2024,23510,42.0692232348192
"269",2024-01-12 04:00:00,1,12,5,1011998.74859166,2024,24203,41.8129466839508
"270",2024-01-12 05:00:00,1,12,6,1156017.76487932,2024,26349,43.8733069520407
"271",2024-01-12 06:00:00,1,12,7,1547502.85102796,2024,29828,51.8808787390358
"272",2024-01-12 07:00:00,1,12,8,2213933.61604552,2024,32398,68.335502686756
"273",2024-01-12 08:00:00,1,12,9,1750791.22464869,2024,33767,51.8491789216895
"274",2024-01-12 09:00:00,1,12,10,1463922.52538064,2024,34744,42.1345419462537
"275",2024-01-12 10:00:00,1,12,11,1465963.2986804,2024,35340,41.4817005851839
"276",2024-01-12 11:00:00,1,12,12,1456167.5515666,2024,35118,41.4649909324734
"277",2024-01-12 12:00:00,1,12,13,1442746.02100394,2024,34799,41.4594103567327
"278",2024-01-12 13:00:00,1,12,14,1421611.03758734,2024,34382,41.3475375948851
"279",2024-01-12 14:00:00,1,12,15,1413058.80038575,2024,33675,41.9616570270453
"280",2024-01-12 15:00:00,1,12,16,1414118.8196508,2024,33034,42.8079802521887
"281",2024-01-12 16:00:00,1,12,17,1636578.73125864,2024,33494,48.8618478312127
"282",2024-01-12 17:00:00,1,12,18,2390816.66156145,2024,37405,63.9170341280965
"283",2024-01-12 18:00:00,1,12,19,2485300.56428621,2024,37980,65.4370870006901
"284",2024-01-12 19:00:00,1,12,20,1999923.34424366,2024,36862,54.2543362878753
"285",2024-01-12 20:00:00,1,12,21,1841604.4445226,2024,35470,51.9200576408965
"286",2024-01-12 21:00:00,1,12,22,1443130.51978656,2024,33264,43.3841546352381
"287",2024-01-12 22:00:00,1,12,23,1394584.14855815,2024,30669,45.472110227205
"288",2024-01-12 23:00:00,1,12,24,1170387.73770184,2024,27804,42.0942216120645
"289",2024-01-13 00:00:00,1,13,1,1073826.62867583,2024,25846,41.5471109137131
"290",2024-01-13 01:00:00,1,13,2,1006253.55026017,2024,24639,40.8398697292979
"291",2024-01-13 02:00:00,1,13,3,829632.57961058,2024,23809,34.8453349410131
"292",2024-01-13 03:00:00,1,13,4,972716.6660225,2024,23435,41.5070051641775
"293",2024-01-13 04:00:00,1,13,5,983942.08020632,2024,23704,41.5095376394836
"294",2024-01-13 05:00:00,1,13,6,996403.42832864,2024,24392,40.8495993903181
"295",2024-01-13 06:00:00,1,13,7,1073066.99717338,2024,25856,41.5016629476091
"296",2024-01-13 07:00:00,1,13,8,1133457.1360437,2024,27275,41.5566319356077
"297",2024-01-13 08:00:00,1,13,9,1080415.88190656,2024,29024,37.2249132409923
"298",2024-01-13 09:00:00,1,13,10,1034912.26429499,2024,30254,34.207452379685
"299",2024-01-13 10:00:00,1,13,11,1023240.09331264,2024,30701,33.3292105570711
"300",2024-01-13 11:00:00,1,13,12,861241.08705256,2024,30549,28.1921204311945
"301",2024-01-13 12:00:00,1,13,13,-6907525.95116635,2024,30006,-230.204824074064
"302",2024-01-13 13:00:00,1,13,14,751185.505371,2024,29645,25.3393660101535
"303",2024-01-13 14:00:00,1,13,15,849044.74047185,2024,29205,29.0718966092056
"304",2024-01-13 15:00:00,1,13,16,936557.369102,2024,28911,32.3944992944554
"305",2024-01-13 16:00:00,1,13,17,1234152.20651252,2024,29742,41.4952661728371
"306",2024-01-13 17:00:00,1,13,18,2025472.89441919,2024,34291,59.0671865626313
"307",2024-01-13 18:00:00,1,13,19,2311484.12641259,2024,35607,64.9165649005137
"308",2024-01-13 19:00:00,1,13,20,1920739.65401436,2024,34748,55.2762649365247
"309",2024-01-13 20:00:00,1,13,21,1855266.63875147,2024,33571,55.2639670772831
"310",2024-01-13 21:00:00,1,13,22,1394147.7212469,2024,31690,43.9933013962417
"311",2024-01-13 22:00:00,1,13,23,1763143.25301293,2024,29577,59.6119705518792
"312",2024-01-13 23:00:00,1,13,24,1201808.43615182,2024,26982,44.5411176396049
"313",2024-01-14 00:00:00,1,14,1,1046126.84453746,2024,24891,42.0283172446852
"314",2024-01-14 01:00:00,1,14,2,965927.06104085,2024,23662,40.821868863192
"315",2024-01-14 02:00:00,1,14,3,845007.95795598,2024,23002,36.7362819735666
"316",2024-01-14 03:00:00,1,14,4,835122.39491325,2024,22745,36.716746314058
"317",2024-01-14 04:00:00,1,14,5,820474.67226882,2024,23022,35.6387226248293
"318",2024-01-14 05:00:00,1,14,6,1000513.819862,2024,24100,41.515096259834
"319",2024-01-14 06:00:00,1,14,7,1179754.54074688,2024,25692,45.9191398391281
